name,interests
Cheryl Morrison,Czech
Sarah Black,Luxembourgish
Frances Simpson,Estonian
Christine Wallace,Thai
Justin Ferguson,Arabic
Diane Phillips,Mongolian
Eugene Tucker,Hungarian
Bruce Moreno,Kashmiri
John Harvey,Zulu
Jonathan Johnson,Italian
Rachel Robertson,Mongolian
Lori Fisher,Māori
Emily Morris,Arabic
Todd Garcia,Malayalam
Katherine Miller,Polish
Jerry Price,Amharic
Teresa Reyes,Swahili
Patrick Sims,Mongolian
Bruce Garrett,Latvian
Donna Ramos,Albanian
Wanda Brown,Spanish
Wanda Bowman,Gujarati
Philip Griffin,Oriya
Robin Bryant,Tajik
Phillip Garcia,Romanian
Alan Jackson,Pashto
Sara Kelley,Czech
Bonnie Richards,Sotho
Paula George,Oriya
Michael Patterson,Danish
Gloria Cunningham,Irish Gaelic
Martha Boyd,Swahili
Earl Torres,Guaraní
Joyce Rodriguez,Indonesian
Alan Garrett,Gujarati
Katherine Shaw,Hindi
Carol Reyes,Bulgarian
Louise Kelly,Finnish
Douglas Snyder,Swahili
Sandra Cox,Maltese
Michael Nelson,Spanish
Bobby Hicks,Tajik
Betty Adams,Kyrgyz
Brenda King,Bosnian
Judith Walker,Azeri
Diane Jenkins,Romanian
Martha Freeman,Bulgarian
Judith Gonzales,Fijian
Jonathan Wilson,Dhivehi
Gary Hill,Latvian
Betty Wright,Bengali
Adam Olson,Indonesian
Carl Kennedy,Tetum
Jonathan Johnson,Khmer
Jose Gomez,Hebrew
Bonnie Price,Malay
Carolyn Owens,Māori
Dorothy Lopez,Māori
Brenda Torres,Yiddish
Karen Knight,Dutch
Mary Parker,Dutch
Theresa Moore,Montenegrin
David Russell,Assamese
Diana Harrison,Macedonian
Ann Cruz,French
Sarah Medina,Montenegrin
Patricia Fowler,Aymara
Jessica Little,Italian
Clarence West,Dzongkha
David Hughes,Azeri
Kathleen Turner,Quechua
Anne Lopez,Somali
Daniel Robinson,Finnish
Joan Ramos,Dzongkha
Ruby Hernandez,West Frisian
John Tucker,Swati
Angela Alvarez,Khmer
Phillip Henderson,Albanian
Janice Butler,Croatian
Howard Meyer,Danish
Alan Ward,Haitian Creole
Andrew Long,Bengali
Frances Ward,Italian
Antonio Gibson,Aymara
Kenneth Morris,Kurdish
Walter Bell,Swati
William Stone,Polish
Michael White,Aymara
Kelly Gonzales,Portuguese
Juan Sims,Dzongkha
Karen Rice,Japanese
Norma Armstrong,Dhivehi
Jennifer Lynch,Greek
Adam Simmons,Kurdish
Julie Harvey,Georgian
Juan Jackson,Chinese
Arthur Hunt,Albanian
Jessica Wood,Latvian
Frances Johnston,Swati
Jonathan Nelson,Dari
Amy Stevens,Italian
Tammy Reed,Swedish
Melissa Berry,Guaraní
Clarence Watkins,Lithuanian
Dorothy Gardner,Polish
Mildred Owens,Indonesian
Ruby Collins,Tswana
Angela Reyes,Finnish
Theresa Ray,Tswana
Norma Webb,Tajik
Norma Mason,Azeri
Anne Welch,Telugu
Annie Murphy,Tswana
Billy Jackson,German
Lois Bishop,Telugu
Benjamin Morales,Swahili
Gloria Hayes,Maltese
Phillip Larson,Lao
Amy Olson,Dhivehi
Kenneth Greene,West Frisian
Evelyn Lee,Tok Pisin
Brenda Campbell,Romanian
Emily Snyder,Hiri Motu
Marilyn Murray,Pashto
Jesse Phillips,Khmer
Louise Torres,Icelandic
William Russell,Montenegrin
Carolyn Rose,Romanian
Maria Hamilton,Icelandic
Lois Hayes,Norwegian
Rachel Andrews,Luxembourgish
Walter Larson,Albanian
David Ortiz,Maltese
Margaret Martin,Dzongkha
Anne Hall,French
Denise Scott,Kurdish
Mary Ramirez,Croatian
Julie Jones,Bosnian
Helen Crawford,Indonesian
Mary Holmes,Ndebele
Peter Fox,Lao
Walter Bishop,Tamil
Jennifer Rivera,Kazakh
Evelyn Morris,Malay
Mark Carter,German
Keith Hart,Bislama
Sandra Turner,Hiri Motu
Rose Olson,Filipino
Raymond Peters,Estonian
Debra Fuller,Filipino
Shirley Cunningham,Latvian
Richard Spencer,Malagasy
Virginia Daniels,English
Aaron Russell,Romanian
Robert Rodriguez,Moldovan
Jennifer Garrett,Telugu
Terry Wilson,Chinese
Antonio Chavez,Swedish
Kimberly Morgan,Swati
Clarence Morris,Punjabi
Denise Diaz,Estonian
Brian Knight,Kyrgyz
Larry Stanley,Danish
Jonathan Riley,Malay
Elizabeth Palmer,Latvian
Keith Larson,Arabic
Deborah Perry,Icelandic
Jonathan Harper,Japanese
Frances Wright,Italian
Earl Warren,Malay
Doris Schmidt,Icelandic
Sara Nguyen,New Zealand Sign Language
Gloria Daniels,Bulgarian
Dennis Long,Kurdish
Gregory Taylor,Lao
Amanda Hart,Papiamento
Carlos Lane,Khmer
Heather Stewart,Hindi
Andrew Moore,Dari
Virginia Lee,Assamese
Eugene Coleman,Māori
Joseph Rice,Belarusian
Lawrence Carroll,Czech
Gary Washington,Somali
Jane Woods,West Frisian
Kathryn Murray,Dhivehi
Brenda Johnson,Fijian
Irene Brooks,Hungarian
Christopher Alvarez,Sotho
Ashley Sanders,Greek
Sandra Wagner,Finnish
Cheryl Morgan,Gagauz
Julia Crawford,Latvian
Victor King,Assamese
Melissa Woods,Montenegrin
Mildred Burton,Romanian
Lois Daniels,Mongolian
Roy Reyes,German
Patricia Shaw,Afrikaans
Michelle Meyer,Lao
Sean Lewis,Azeri
Marie Wells,Icelandic
James Murray,Czech
Janet Taylor,Tsonga
Kevin Johnston,Guaraní
Kathy Schmidt,Khmer
Jean Reyes,Japanese
Julia Cunningham,Croatian
Amy Medina,West Frisian
Deborah Ray,Kannada
Ernest Garcia,Swedish
Betty Crawford,Dutch
Rachel Hernandez,Indonesian
Roy Ford,Portuguese
Ruth Alexander,Marathi
Sara Gomez,Pashto
Eugene Tucker,Catalan
Alice Mills,Dutch
Sean Ramos,Somali
Russell Torres,Burmese
Lori Sanchez,Korean
Wayne Lawson,Zulu
Andrea Carroll,Norwegian
Carlos Woods,Macedonian
Earl Burton,Lithuanian
Amanda Williams,Haitian Creole
James Harvey,Tswana
Raymond Myers,Tswana
Joan Cox,Georgian
Jeffrey Harris,Filipino
Bonnie Pierce,West Frisian
Scott Hunter,Armenian
Philip Alexander,Aymara
Martin Marshall,Tok Pisin
James Hernandez,Norwegian
Philip Russell,West Frisian
Howard Foster,Dhivehi
Stephanie Payne,Bulgarian
Jimmy Long,Tamil
Carl Alexander,Somali
Brandon Cruz,Amharic
Marie Anderson,Danish
Ryan Olson,Tetum
Deborah Austin,Haitian Creole
Benjamin Flores,Bulgarian
Judith Carroll,Dari
Wanda Fernandez,Armenian
Earl Watkins,Armenian
Karen Hernandez,Pashto
Kenneth Fowler,Telugu
Margaret Dunn,Swati
Betty Burke,Finnish
Denise Adams,Estonian
Sharon Morris,Dzongkha
Steve Little,Icelandic
Ryan Wagner,Malayalam
Emily Little,Belarusian
Jessica Jackson,Swati
Diana Martin,Portuguese
Louise Alvarez,Armenian
Matthew Owens,Oriya
Pamela Alvarez,Irish Gaelic
Sharon Wells,Bulgarian
Deborah Stevens,Fijian
Helen Wagner,Greek
Nicole Ford,Lithuanian
Cynthia Carroll,Swati
Christine Hunt,Sotho
Richard Payne,Korean
Lois Vasquez,Hungarian
Dorothy Harris,Ndebele
Sara Andrews,Fijian
Julia Sims,Kashmiri
Karen Spencer,Hungarian
Andrea Turner,Arabic
Linda Larson,Azeri
Margaret Hart,Arabic
Howard Hayes,Tswana
Jean Hicks,Quechua
Denise Lopez,Czech
Anthony Sims,Moldovan
Joseph Roberts,Chinese
Daniel Ryan,Zulu
Jesse Austin,Persian
Albert Mccoy,Bulgarian
Christina Crawford,Mongolian
Jason Woods,Norwegian
Kimberly Gardner,Guaraní
Chris Watkins,Tetum
Melissa Johnson,Yiddish
Christine Brooks,Mongolian
Jessica Miller,Sotho
David Bennett,Burmese
Joe Young,Malayalam
Andrew Palmer,Bulgarian
Christina Johnson,Azeri
Kathryn Morrison,Kannada
Karen Franklin,Maltese
Ryan Morgan,Burmese
Aaron Morgan,Tamil
Daniel Rodriguez,Dutch
Angela Alvarez,West Frisian
Aaron Williams,Latvian
Keith Howell,Lithuanian
Raymond Hunter,Icelandic
Janice Simpson,Moldovan
Lois Martinez,Thai
Betty Reynolds,Aymara
Frances Smith,Tajik
Betty Wheeler,Gujarati
Ronald Castillo,Swahili
Sarah Alvarez,Guaraní
Carol Spencer,Somali
Shirley Richardson,Aymara
Mark Holmes,Dutch
Stephen Wood,Norwegian
Margaret Brooks,Finnish
Jeremy Castillo,Azeri
Brenda Crawford,Bulgarian
Justin Cole,Kashmiri
Susan Collins,Albanian
Kevin Burke,Dutch
Tammy Howell,Bislama
Sharon Hill,Afrikaans
Sarah Garrett,Somali
William Morgan,Gujarati
Marie Collins,Marathi
Irene Long,Romanian
Russell Burke,Thai
Benjamin Andrews,Hiri Motu
Ryan Harrison,Filipino
Marie Berry,Albanian
James Hunter,Gagauz
Phillip Dean,Kashmiri
Jennifer Hall,Tetum
Chris Reid,Tamil
Jane Moreno,Norwegian
Edward Morales,Bulgarian
Debra Wood,Burmese
Angela George,Swedish
Ruth Carter,Somali
Carlos Alexander,Bislama
Susan Harrison,Bulgarian
Ralph Porter,Lithuanian
Janice Wilson,Norwegian
Melissa Mccoy,Lao
Frank Hill,Bulgarian
Paula Welch,Chinese
Betty Fuller,Aymara
Joe Day,Armenian
William Perry,Lao
Judy Harper,Czech
Marilyn Arnold,Guaraní
Christopher Lopez,Greek
Andrew Flores,Georgian
Antonio Roberts,Punjabi
Evelyn Alexander,Bosnian
Steve Ryan,Kashmiri
Julia Martinez,Burmese
Shirley Ross,Sotho
Thomas Thomas,Dhivehi
Heather Perry,Finnish
Sara Wood,Icelandic
Brian Castillo,Albanian
Sean Lynch,New Zealand Sign Language
Brenda Carroll,Telugu
Henry Ryan,Icelandic
Keith Gonzalez,Guaraní
Samuel Hill,Finnish
Sean Richards,English
Victor Wagner,Latvian
Joshua Flores,Aymara
Kevin Payne,Czech
Michael Olson,Malayalam
Annie Garza,Moldovan
Shirley Gonzalez,Irish Gaelic
Lori Lynch,Yiddish
Joshua Wells,Aymara
Denise Griffin,Japanese
Chris Young,Azeri
Joyce Perkins,Italian
Roy Nguyen,Assamese
Jose Payne,Yiddish
Patricia Fuller,Armenian
Paula Warren,Hungarian
Daniel Garcia,Malayalam
Daniel Simmons,Gujarati
Benjamin Jordan,Greek
Alan Foster,Mongolian
Gerald Reyes,Assamese
Virginia Vasquez,Bislama
Thomas Olson,Bosnian
Joe Howard,Lithuanian
Judy Robertson,Kyrgyz
Samuel Green,Finnish
Benjamin King,Finnish
Scott Lawrence,Khmer
Brian Hayes,Dutch
Lillian Kelly,New Zealand Sign Language
Martin Day,Belarusian
George Little,Irish Gaelic
Billy Gomez,Polish
Carlos Jackson,Finnish
Eugene Banks,Filipino
Jack Jones,Zulu
Julia Green,Haitian Creole
Marilyn Johnson,Haitian Creole
Diane Simmons,Bosnian
Ronald Perry,Quechua
Harry Wells,German
Patricia Tucker,Kashmiri
Evelyn Wheeler,Papiamento
Juan Nguyen,Ndebele
Virginia Evans,Telugu
Harry Cox,Romanian
Anne Hunter,Bosnian
Charles Patterson,Czech
Linda Montgomery,Norwegian
Martin Bishop,Montenegrin
Christina Warren,Macedonian
Robin Hart,Bosnian
Steve Hughes,Kazakh
Mark Arnold,Kashmiri
Adam Freeman,Tswana
Martha Alvarez,Moldovan
Antonio Garza,Korean
Todd Hanson,Dzongkha
Daniel George,Swedish
Russell Elliott,Assamese
Wanda Meyer,Yiddish
Barbara Martinez,Burmese
Lori Morris,Maltese
David Cole,West Frisian
Timothy Crawford,Mongolian
Earl Rogers,Azeri
Johnny Chavez,Khmer
Bruce Sims,Luxembourgish
Nicole Fisher,Malay
Lillian Wright,Latvian
Heather Foster,Northern Sotho
Brian Scott,Swedish
Joshua Garza,Dhivehi
Eric Woods,Punjabi
Paul Webb,Kurdish
Steven Chavez,Pashto
Larry Lawson,Lithuanian
Joan Snyder,Northern Sotho
Justin Sanchez,Japanese
Roy Nelson,Thai
Diane Wells,Korean
Steve Cruz,Bengali
Frank Hart,Papiamento
Cynthia Burton,Kashmiri
Mary Williams,Persian
Nicole Webb,Bosnian
Emily Rice,Afrikaans
Ernest Frazier,German
Judith Kim,Dzongkha
Fred Wood,Moldovan
Steve Walker,Somali
Mary Ellis,Swedish
Rachel Gray,Afrikaans
Gregory Barnes,Malagasy
Roger Ruiz,Swahili
Jose Bell,Danish
Joyce Morales,Malay
Anna Schmidt,Tsonga
Ernest Carter,Greek
Jacqueline Gilbert,Greek
Scott Willis,Italian
Lawrence Allen,Arabic
Matthew Jacobs,Gagauz
Eugene Harrison,Assamese
Julia Hughes,Azeri
Joseph Lane,Ndebele
Victor Stevens,West Frisian
Patrick Jenkins,Somali
Brenda Sims,Khmer
Gerald Day,Tsonga
Philip Rose,Gagauz
Laura Gray,Maltese
George Edwards,Māori
Betty Welch,Bulgarian
Gary Lawrence,Kyrgyz
Jeremy Stewart,Icelandic
Lisa Williams,Filipino
Stephen Green,Gujarati
Eric Hayes,Tajik
Susan Powell,Bengali
Joshua Williams,Dari
Barbara Marshall,Guaraní
Paula Holmes,Tsonga
Virginia Simpson,Telugu
Tammy Murray,Dari
Virginia Bradley,Danish
Elizabeth Perry,Azeri
Louis Ramos,Swahili
Edward Flores,Chinese
Brenda Harvey,Malay
William Day,Romanian
Judith Johnson,Hebrew
Julia Cox,Hindi
Bobby Hamilton,Japanese
Bonnie Burns,Belarusian
Patricia Campbell,Gagauz
Emily Richards,Fijian
Christine Perez,Hebrew
Gary Howard,Māori
Gary Reynolds,Gagauz
Jessica Bryant,Maltese
Jeremy Lopez,Tswana
Christopher Murphy,Romanian
Louise Riley,Ndebele
Mildred Gonzalez,Assamese
Paula Simpson,Ndebele
Alan Mills,Tswana
Brenda Burns,Tamil
Jerry Vasquez,Norwegian
Gary Stanley,Indonesian
Larry Sullivan,Danish
Brenda Richardson,French
Carlos Stone,Telugu
Jerry Hayes,Spanish
Joe Green,Burmese
Patricia Knight,Haitian Creole
Marilyn Johnson,Greek
Benjamin Burns,Romanian
Rose Reed,Yiddish
Gregory Wheeler,Tamil
Roy Ramos,Italian
Julia Johnson,Burmese
Daniel Watson,Zulu
John Ward,Malayalam
Roger Moore,Dzongkha
Margaret Cunningham,Ndebele
Jonathan Owens,Moldovan
Joe Reid,Italian
Amy Wells,Telugu
Willie Washington,Lithuanian
Wanda Miller,Maltese
Jean Medina,Mongolian
Jeremy Holmes,Portuguese
Kimberly Gonzalez,Telugu
Carol Phillips,Amharic
Harold Bishop,Latvian
Jose Dean,Belarusian
Anne Stone,Greek
Helen Weaver,New Zealand Sign Language
Gary Harrison,Hindi
Kelly Webb,Montenegrin
Wanda Taylor,Irish Gaelic
Jerry Martin,Azeri
Elizabeth Carr,Hungarian
Donna Cruz,Kurdish
Randy Gonzalez,Indonesian
Cheryl Kelly,Estonian
Patrick Reed,Portuguese
Julie Sanders,Quechua
Phyllis Woods,Croatian
Gerald Howard,Persian
Patricia Morales,Mongolian
Barbara Kim,Amharic
Daniel Bell,Burmese
Roy Crawford,Icelandic
Justin Fernandez,Tsonga
Sandra Rogers,Indonesian
Brian Watson,Tetum
Fred Turner,Tsonga
Anthony Rogers,Norwegian
Brenda Reyes,German
Paula West,Croatian
Ashley Peters,Yiddish
Steven Harvey,Spanish
Clarence Harrison,Latvian
Lois Coleman,Zulu
Patrick Williamson,Portuguese
Justin Perkins,Dzongkha
Raymond Ramirez,Kazakh
James Little,Maltese
Brenda Myers,Pashto
Marie Jones,Malagasy
Gregory Rose,Belarusian
Julie Dunn,Greek
Anna Hall,Tok Pisin
Christopher James,Croatian
Matthew Jackson,Hebrew
Bonnie Murphy,Khmer
Judy Robertson,Korean
Cheryl Reyes,Pashto
Christopher Powell,Tsonga
Jacqueline Myers,Greek
Steven Garza,Albanian
Jeremy Garcia,Hindi
Steven Ruiz,Japanese
Sharon Ray,Marathi
Mary Hunt,Chinese
Jason Reyes,Swahili
Jessica Meyer,Kashmiri
Robert Pierce,Somali
Jean Carroll,Dzongkha
Marie Stevens,Burmese
Donna Fisher,Quechua
Tina Diaz,Bulgarian
Tina Hart,Luxembourgish
Ann Griffin,West Frisian
William Weaver,Hungarian
Philip Fields,Spanish
Donald Davis,Hindi
Douglas Johnson,Gagauz
Michael Lawrence,Kyrgyz
Frances Stephens,Swedish
Lisa Ford,Bosnian
Irene Dean,Kashmiri
Carol Brown,Bengali
Benjamin Montgomery,Romanian
Ralph Lane,Bosnian
Julia Foster,Finnish
Andrea Woods,Tamil
Gloria Arnold,Yiddish
Gary Garza,German
Billy Stone,Burmese
Barbara Bennett,German
Gerald Evans,Albanian
Brian Wheeler,Sotho
Eugene Carroll,Ndebele
Evelyn Wilson,Hebrew
Jimmy Diaz,Kannada
Bobby Hughes,Moldovan
Cynthia Reyes,Filipino
Teresa Banks,Amharic
Deborah Mason,Norwegian
Norma Hill,Yiddish
Kathryn Miller,Nepali
Elizabeth Porter,Tamil
Nicole Hunter,Catalan
Scott Rose,Hebrew
Carolyn Ford,French
Philip Perkins,Ndebele
Billy Robinson,Punjabi
Shawn Sims,Kashmiri
Howard Hayes,Oriya
Robert Medina,Tetum
Terry Webb,Swedish
Fred King,Haitian Creole
Ann Owens,Ndebele
Christine Bailey,Montenegrin
Bobby Simmons,Irish Gaelic
Peter Fuller,Papiamento
Ruby Garza,Armenian
Carl Dean,Icelandic
Jerry Baker,Swahili
Deborah Gonzalez,Hungarian
Anna Willis,Aymara
Jerry Meyer,Northern Sotho
Gary Snyder,German
Amy Frazier,Hebrew
Cynthia Coleman,Telugu
Albert Wilson,Swahili
Catherine White,Korean
Edward Nguyen,Catalan
Doris Simmons,Ndebele
Ralph Graham,Burmese
Jean Baker,Tok Pisin
Kevin Stone,Kashmiri
Peter Cunningham,Telugu
Barbara Fisher,Danish
Dennis Cooper,Albanian
Gary Watson,Icelandic
Donna Jordan,Hindi
Samuel Wood,Spanish
Martin Wilson,Bengali
David Matthews,Kazakh
Martha Vasquez,Guaraní
Louise Richardson,Kazakh
Theresa Lawrence,Mongolian
Kathryn Ramos,Khmer
Bobby Mason,Lao
Wanda Cook,Persian
Shirley Gonzales,Maltese
Anna Baker,Kashmiri
Edward Garcia,Gujarati
Ralph Wells,Irish Gaelic
Julia Sims,Swati
Willie Ortiz,German
Joan Jones,Montenegrin
Julia Cox,Latvian
Sarah Powell,Nepali
Earl Sanders,Albanian
Carol James,Georgian
Gary Burns,Northern Sotho
Juan Baker,Thai
Robert Rice,Thai
Judith Wright,Swedish
Joan Meyer,Georgian
Terry Lynch,Polish
Diana Allen,Khmer
Irene Reid,Zulu
Kimberly Cooper,French
Gary Carr,Marathi
Angela Hunter,Papiamento
Billy Anderson,Danish
Andrew Hunter,Haitian Creole
Lisa Mendoza,Swati
Phyllis Harvey,Polish
David Howard,Montenegrin
Antonio Rose,Gagauz
Sandra Baker,Hindi
Tina Burns,Somali
Victor Rodriguez,Swedish
Catherine Jordan,Tswana
Doris Brooks,Nepali
Janet Woods,Kyrgyz
Howard Johnston,Burmese
Victor Perkins,Māori
Shirley Dean,Hiri Motu
George Martinez,Italian
Lisa Parker,Azeri
Kelly George,Zulu
Antonio Clark,Arabic
Joyce Jenkins,Tswana
Raymond Hernandez,Kashmiri
Ernest West,Albanian
George Perkins,Punjabi
Todd Reyes,Indonesian
Howard Anderson,Kannada
Patricia Sullivan,Somali
Mark Lee,New Zealand Sign Language
Janice Marshall,Italian
Paula Hernandez,Japanese
Sean Garrett,Malayalam
Sara Nichols,Afrikaans
Donald Howell,Fijian
Stephen Weaver,Quechua
Jeremy Russell,Kurdish
Julie Wagner,Guaraní
Ashley Walker,Estonian
Christina Fields,Bengali
Teresa Sanders,Aymara
Donna Black,Aymara
Stephen Banks,Icelandic
Melissa Hall,Kyrgyz
Joseph Ray,Dutch
Chris Dixon,Dhivehi
Jack Bishop,Assamese
Laura Oliver,Chinese
George Morales,English
Chris Riley,Arabic
Ronald Alexander,Gagauz
Marie Wilson,German
Gloria Ramirez,Moldovan
Willie Vasquez,New Zealand Sign Language
Ruby Gordon,Telugu
Timothy Schmidt,Papiamento
Henry King,Yiddish
Raymond Ruiz,Albanian
Roger Garrett,Lithuanian
Keith Gray,Oriya
Anna Franklin,Latvian
Samuel Cunningham,Georgian
Louis Kennedy,Tok Pisin
Catherine Crawford,Somali
Dennis Vasquez,Punjabi
Mildred Gordon,Malay
Frances Austin,Ndebele
Mary Andrews,Irish Gaelic
Steve King,Korean
Wayne Thomas,Bulgarian
Gary Ortiz,Luxembourgish
Janet Sullivan,Mongolian
Wayne Peterson,Korean
Jerry Green,Lao
Julie Martinez,French
Todd Scott,Arabic
Richard Holmes,Swahili
Barbara Burns,Bosnian
Benjamin Wilson,Sotho
Ronald Fox,Hungarian
Eugene Coleman,Japanese
Carolyn Pierce,Māori
Richard Lawrence,Fijian
Adam Castillo,Oriya
Bobby Sanders,Bosnian
Steve Brown,Bulgarian
Brian Holmes,Assamese
Jesse Shaw,Yiddish
Diana Thompson,Macedonian
Arthur Henry,Croatian
Marilyn Henry,Arabic
Sandra Cook,Swahili
Kenneth Walker,Gagauz
Anthony Bradley,Kurdish
Gerald Wagner,Dari
Lori Stone,Spanish
Dorothy Lewis,Norwegian
Emily Webb,Icelandic
John Gomez,Kyrgyz
Eugene Harvey,Malay
Johnny Wright,Spanish
Joseph Mason,Tok Pisin
Louise Knight,Nepali
Robin Hicks,Malayalam
Fred Rodriguez,Zulu
Shawn Ruiz,Swati
Joe Bradley,Punjabi
Howard Walker,Croatian
Eric Castillo,Yiddish
Jacqueline Scott,Fijian
Gary Jenkins,Korean
Christopher Hall,Korean
Rachel Kennedy,Nepali
Phyllis Long,Hiri Motu
Joshua Greene,Papiamento
Sean Anderson,Tetum
Andrew Welch,Greek
Kelly Gonzales,Romanian
James Wilson,Kyrgyz
Jose Black,Punjabi
Beverly Garcia,Malay
Carlos Boyd,Tajik
Deborah Payne,Dhivehi
Eugene Morgan,Danish
Craig Sanchez,Kurdish
Nicholas Hamilton,Dutch
Douglas Watkins,Irish Gaelic
Ronald Dunn,Bislama
Antonio Armstrong,Swati
Jimmy Williams,Macedonian
George Kim,Polish
Rose Myers,Japanese
Joyce Schmidt,Lao
Patrick Griffin,Ndebele
Shawn Snyder,Dhivehi
Mark West,French
Evelyn Jackson,Punjabi
Terry Hunt,Japanese
Joe Carpenter,Irish Gaelic
Tina Knight,Kazakh
Cheryl Roberts,Arabic
Roy Larson,Dari
Donna Reynolds,Hindi
Scott Gardner,Guaraní
Alice Weaver,Malayalam
Andrew Hayes,Telugu
Wanda Clark,Chinese
Donald Ramos,Assamese
Randy Olson,Tajik
Stephanie Mccoy,Malayalam
Steve Alvarez,Korean
Emily Johnston,Maltese
Rose Graham,Polish
Jason Cruz,Dutch
Kimberly Morgan,Bengali
Brandon Sims,Gujarati
Earl Alvarez,Icelandic
Ralph Nelson,Spanish
Jose Johnson,Tok Pisin
Michelle Shaw,Quechua
Randy Olson,Malay
Gary Carr,Malayalam
Gloria Black,Catalan
Eugene Johnson,New Zealand Sign Language
Scott Price,Tswana
Richard Rodriguez,Zulu
Diana Carter,Portuguese
Julie Stevens,Malayalam
Marie Perry,Montenegrin
Julie Shaw,Swahili
Elizabeth Schmidt,Arabic
Ronald Williamson,Icelandic
Judith Johnston,Hiri Motu
Nicole Fernandez,Malay
Douglas Fox,Zulu
Antonio Holmes,Fijian
Wayne Jones,Chinese
Carol Palmer,Māori
Wanda Gonzalez,Indonesian
Kelly Rogers,Somali
Irene Garza,Moldovan
Karen Vasquez,Albanian
Laura Mills,Tsonga
Benjamin Parker,Malagasy
Robert Taylor,Fijian
Roy Lane,Italian
Jacqueline Young,Kyrgyz
Rose James,Swati
Ann Martinez,Quechua
Marilyn Harper,English
Anthony Dixon,Greek
Norma Montgomery,Kurdish
Theresa Sanchez,Yiddish
Kathleen Kelly,Albanian
Ralph Hunter,Kurdish
Clarence Campbell,Yiddish
Paul Nelson,Kannada
Jack Thompson,Arabic
James Hansen,German
Gerald Mitchell,Gujarati
Edward Robertson,Somali
Lawrence Reyes,Portuguese
Jason Gomez,English
Antonio Welch,Dutch
Christopher Ryan,Marathi
David Palmer,Irish Gaelic
Peter Bowman,Yiddish
Pamela Barnes,Arabic
Carol Cole,Portuguese
Frank Hall,Malagasy
Shawn Griffin,Persian
Earl Ward,German
David Stevens,Danish
Jean Oliver,Kazakh
Jack Fuller,Afrikaans
Virginia Perry,French
Susan Fuller,Greek
Mary Duncan,Hiri Motu
Anna Ortiz,Lao
Robin Lane,Fijian
Sean Brooks,Tamil
Jerry Thompson,Tetum
Peter James,Maltese
Anne Scott,French
Jonathan Vasquez,Luxembourgish
Christine Hunter,Quechua
Helen Griffin,German
Carlos Sanders,Aymara
Randy Wheeler,Bulgarian
Lisa Washington,Fijian
Frank Torres,Danish
Timothy Alvarez,Azeri
Jonathan Perez,Haitian Creole
Carl Hudson,Georgian
Frances Bradley,Hiri Motu
Lawrence Morris,Armenian
Andrea Wood,Hindi
Robin Hayes,Lao
Helen Burke,Assamese
Joyce Burke,Kurdish
Charles Torres,Italian
Judith Garza,Marathi
Matthew Taylor,Latvian
Kathryn Mills,Tajik
Beverly Jacobs,Haitian Creole
Brian Carter,Kannada
Robert Rogers,English
Ralph Sanders,German
Christina Kelly,Irish Gaelic
Donald Collins,Ndebele
Linda Boyd,Indonesian
Katherine Gomez,Tsonga
Lawrence Moore,Dzongkha
Mildred Mason,Italian
Rachel Morgan,Aymara
Harry Walker,Zulu
Maria Gilbert,Tok Pisin
Scott Parker,Tswana
Debra Hanson,Finnish
Judith Anderson,Korean
Larry Day,Thai
Julie Jordan,Tamil
Amanda Mendoza,French
Carl Holmes,Chinese
Rebecca Duncan,Pashto
James Peters,Swedish
Eugene Murray,Northern Sotho
Denise Rice,Hebrew
Todd Franklin,Northern Sotho
George Warren,Bengali
Nicole Ward,Moldovan
Paul Butler,Malagasy
Joshua Coleman,Telugu
Harry Baker,Greek
Steven Sanders,Nepali
Evelyn Anderson,Arabic
Phillip Carter,Irish Gaelic
Ann Burton,Swati
Louise Holmes,Chinese
Linda Gardner,Sotho
Donald Hansen,Spanish
Henry Moore,Bengali
Patricia Burke,Swahili
Robert Johnston,Tsonga
Amy Lawrence,Hebrew
Rose Graham,Filipino
Clarence Wallace,Finnish
Nancy Marshall,Chinese
Jane Ruiz,Swati
James Harrison,Japanese
Mark White,Latvian
Craig Hill,Kurdish
Brenda Scott,Bengali
Jerry West,Norwegian
Edward Bryant,Kazakh
Wayne Wilson,West Frisian
Frank Meyer,Malayalam
Katherine Murphy,Estonian
Craig Hansen,Gagauz
Christine Rivera,Moldovan
Laura Burton,Swedish
Daniel Harper,Croatian
Henry Hawkins,Filipino
Helen Edwards,Afrikaans
Beverly Reynolds,Armenian
Billy Ortiz,Bengali
Andrew Scott,Tok Pisin
Louis Lawrence,Arabic
Cheryl West,Danish
Daniel Rodriguez,Tamil
Samuel Mcdonald,Persian
Janice Lawrence,Tswana
Matthew Hudson,Zulu
James Adams,Bulgarian
Christopher Reyes,Latvian
Walter Armstrong,Hindi
Anna Meyer,Oriya
Randy Richardson,Malay
Antonio Carr,Tok Pisin
Jose Wagner,Afrikaans
Norma Moore,Tswana
Arthur Powell,Kashmiri
Justin Sullivan,Persian
Julie Adams,Macedonian
Kathleen Fuller,Gujarati
Emily Adams,Arabic
Wanda Price,Somali
Richard Turner,Finnish
Keith Lee,Guaraní
Benjamin Alexander,Bosnian
Sharon Hunt,Amharic
Fred Hill,Malagasy
Nicholas Phillips,Chinese
Diana Olson,Haitian Creole
Dorothy Ramirez,Quechua
Albert Duncan,Mongolian
